code	type	faculty	teacher	place	units	url	people	A	B	C	D	F	other	mean
10806032-027	学部	"△ジョイント・リサーチⅡ-27
Joint Research II-27"	"玉谷　充
原　尚幸"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806032027.html	21.0	66.7	19.0	4.8	4.8	4.8	0.0	3.4
10806032-028	学部	"△ジョイント・リサーチⅡ-28
Joint Research II-28"	"石岡　学
河瀬　彰宏"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806032028.html	10.0	90.0	10.0	0.0	0.0	0.0	0.0	3.9
10806032-029	学部	"△ジョイント・リサーチⅡ-29
Joint Research II-29"	"下嶋　篤
中安　真理"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806032029.html	17.0	23.5	41.2	17.6	17.6	0.0	0.0	2.7
10806032-030	学部	"△ジョイント・リサーチⅡ-30(デジタルミュージアム京都の制作)
Joint Research II-30"	"鋤柄　俊夫
柳沢　英輔"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806032030.html	21.0	19.0	81.0	0.0	0.0	0.0	0.0	3.2
10806033-001	学部	"△アドバンスト・コロキアム-1
Advanced Colloquium-1"	"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
下嶋　篤
杉本　裕二
宿久　洋
深川　大路
石岡　学
柳沢　英輔
原　尚幸
川﨑　廣𠮷
山内　信幸
田中　雄"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806033001.html								
10806033-002	学部	"△アドバンスト・コロキアム-2
Advanced Colloquium-2"	"金　明哲
阪田　真己子
下嶋　篤
津村　宏臣
杉尾　武志
矢野　環
波多野　賢治
大塚　幸生
玉谷　充
河瀬　彰宏
浦部　治一郎
田口　哲也
沈　力
中安　真理"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806033002.html								
10806041-001	学部	"○卒業研究Ⅰ-1
Graduation Study I-1"	福田　智子	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041001.html								
10806041-002	学部	"○卒業研究Ⅰ-2
Graduation Study I-2"	波多野　賢治	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041002.html								
10806041-003	学部	"○卒業研究Ⅰ-3
Graduation Study I-3"	星　英仁	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041003.html								
10806041-004	学部	"○卒業研究Ⅰ-4
Graduation Study I-4"	伊藤　紀子	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041004.html								
10806041-005	学部	"○卒業研究Ⅰ-5
Graduation Study I-5"	金　明哲	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041005.html								
10806041-008	学部	"○卒業研究Ⅰ-8
Graduation Study I-8"	川﨑　廣𠮷	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041008.html								
10806041-011	学部	"○卒業研究Ⅰ-11
Graduation Study I-11"	阪田　真己子	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041011.html								
10806041-012	学部	"○卒業研究Ⅰ-12
Graduation Study I-12"	沈　力	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041012.html								
10806041-014	学部	"○卒業研究Ⅰ-14
Graduation Study I-14"	下嶋　篤	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041014.html								
10806041-016	学部	"○卒業研究Ⅰ-16
Graduation Study I-16"	杉本　裕二	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041016.html								
10806041-017	学部	"○卒業研究Ⅰ-17
Graduation Study I-17"	杉尾　武志	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041017.html								
10806041-018	学部	"○卒業研究Ⅰ-18
Graduation Study I-18"	鋤柄　俊夫	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041018.html								
10806041-019	学部	"○卒業研究Ⅰ-19
Graduation Study I-19"	田口　哲也	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041019.html								
10806041-021	学部	"○卒業研究Ⅰ-21
Graduation Study I-21"	津村　宏臣	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041021.html								
10806041-022	学部	"○卒業研究Ⅰ-22
Graduation Study I-22"	浦部　治一郎	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041022.html								
10806041-023	学部	"○卒業研究Ⅰ-23
Graduation Study I-23"	宿久　洋	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041023.html								
10806041-024	学部	"○卒業研究Ⅰ-24
Graduation Study I-24"	山内　信幸	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041024.html								
10806041-025	学部	"○卒業研究Ⅰ-25
Graduation Study I-25"	矢野　環	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041025.html								
10806041-026	学部	"○卒業研究Ⅰ-26
Graduation Study I-26"	鄭　躍軍	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041026.html								
10806041-028	学部	"○卒業研究Ⅰ-28
Graduation Study I-28"	深川　大路	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041028.html								
10806041-033	学部	"○卒業研究Ⅰ-33
Graduation Study I-33"	石岡　学	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041033.html								
10806041-034	学部	"○卒業研究Ⅰ-34
Graduation Study I-34"	大塚　幸生	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041034.html								
10806041-035	学部	"○卒業研究Ⅰ-35
Graduation Study I-35"	玉谷　充	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041035.html								
10806041-036	学部	"○卒業研究Ⅰ-36
Graduation Study I-36"	柳沢　英輔	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041036.html								
10806041-037	学部	"○卒業研究Ⅰ-37
Graduation Study I-37"	原　尚幸	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041037.html								
10806041-038	学部	"○卒業研究Ⅰ-38
Graduation Study I-38"	河瀬　彰宏	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041038.html								
10806041-039	学部	"○卒業研究Ⅰ-39
Graduation Study I-39"	中安　真理	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041039.html								
10806041-040	学部	"○卒業研究Ⅰ-40
Graduation Study I-40"	田中　雄	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806041040.html								
10806042-001	学部	"△卒業研究Ⅱ-1
Graduation Study II-1"	福田　智子	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042001.html								
10806042-002	学部	"△卒業研究Ⅱ-2
Graduation Study II-2"	波多野　賢治	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042002.html								
10806042-003	学部	"△卒業研究Ⅱ-3
Graduation Study II-3"	星　英仁	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042003.html								
10806042-004	学部	"△卒業研究Ⅱ-4
Graduation Study II-4"	伊藤　紀子	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042004.html								
10806042-005	学部	"△卒業研究Ⅱ-5
Graduation Study II-5"	金　明哲	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042005.html								
10806042-008	学部	"△卒業研究Ⅱ-8
Graduation Study II-8"	川﨑　廣𠮷	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042008.html								
10806042-011	学部	"△卒業研究Ⅱ-11
Graduation Study II-11"	阪田　真己子	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042011.html								
10806042-012	学部	"△卒業研究Ⅱ-12
Graduation Study II-12"	沈　力	京田辺	4単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806042012.html								
