code	type	faculty	teacher	place	units	url	people	A	B	C	D	F	other	mean
10806332	学部	"△身体認知論
Embodied Cognition"	"阪田　真己子
下嶋　篤
杉尾　武志"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806332000.html	108.0	0.9	5.6	22.2	52.8	18.5	0.0	1.2
10806361	学部	"△認知システム論
Cognitive Systems"	杉尾　武志	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806361000.html	24.0	29.2	20.8	16.7	25.0	8.3	0.0	2.4
10806371	学部	"○認知科学の方法
Methods of Cognitive Science"	"阪田　真己子
杉尾　武志
大塚　幸生"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806371000.html	78.0	16.7	14.1	23.1	19.2	26.9	0.0	1.7
10806372	学部	"○認知科学実習
Practices of Cognitive Science"	"阪田　真己子
杉尾　武志
大塚　幸生"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806372000.html	49.0	65.3	12.2	10.2	4.1	8.2	0.0	3.2
10806411	学部	"○人間と社会
Human Beings and Society"	水垣　源太郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806411000.html	37.0	2.7	54.1	13.5	2.7	27.0	0.0	2.0
10806412	学部	"△社会調査入門
Introduction to Social Survey"	石岡　学	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806412000.html	262.0	15.6	28.6	24.0	15.3	16.4	0.0	2.1
10806421	学部	"○社会調査法
Methodology of Social Survey"	鄭　躍軍	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806421000.html	159.0	17.0	23.3	22.0	11.3	26.4	0.0	1.9
10806422	学部	"△メディア文化論
Cultural Media Studies"	石岡　学	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806422000.html	102.0	13.7	25.5	23.5	18.6	18.6	0.0	2.0
10806423	学部	"△社会調査演習
Exercise for Social Survey"	"宿久　洋
鄭　躍軍
浦部　治一郎
川﨑　廣𠮷
山原　英男
藤田　成隆"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806423000.html	52.0	34.6	44.2	13.5	0.0	7.7	0.0	3.0
10806431	学部	"△組織と文化
Organization and Culture"	水垣　源太郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806431000.html	77.0	7.8	23.4	18.2	24.7	26.0	0.0	1.6
10806432	学部	"△人類生態と社会現象
Human Ecology and Social Phenomena"	津村　宏臣	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806432000.html	127.0	32.3	32.3	22.0	3.9	9.4	0.0	2.7
10806433	学部	"△行動計量学
Behaviormetrics"	津村　宏臣	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806433000.html	144.0	45.1	34.0	12.5	2.8	5.6	0.0	3.1
10806461	学部	"○現代社会論
Social Issues in Contemporary Society"	鄭　躍軍	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806461000.html	45.0	28.9	11.1	4.4	15.6	40.0	0.0	1.7
10806471	学部	"△社会変動論
Changes of Social Structure"	水垣　源太郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806471000.html	77.0	7.8	23.4	18.2	24.7	26.0	0.0	1.6
30806501	博前	"○シンポジウム１
Symposium 1"	"鋤柄　俊夫
星　英仁
伊藤　紀子
金　明哲
福田　智子
阪田　真己子
下嶋　篤
津村　宏臣
杉本　裕二
杉尾　武志
宿久　洋
矢野　環
波多野　賢治
鄭　躍軍
原　尚幸
浦部　治一郎
川﨑　廣𠮷
山内　信幸
田口　哲也
沈　力
影山　太郎"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806501000.html								
30806502	博前	"△シンポジウム２
Symposium 2"	"鋤柄　俊夫
星　英仁
伊藤　紀子
金　明哲
福田　智子
阪田　真己子
下嶋　篤
津村　宏臣
杉本　裕二
杉尾　武志
宿久　洋
矢野　環
波多野　賢治
鄭　躍軍
原　尚幸
浦部　治一郎
川﨑　廣𠮷
山内　信幸
田口　哲也
沈　力
影山　太郎"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806502000.html								
30806503	博前	"○シンポジウム３
Symposium 3"	"鋤柄　俊夫
星　英仁
伊藤　紀子
金　明哲
福田　智子
阪田　真己子
下嶋　篤
津村　宏臣
杉本　裕二
杉尾　武志
宿久　洋
矢野　環
波多野　賢治
鄭　躍軍
原　尚幸
浦部　治一郎
川﨑　廣𠮷
山内　信幸
田口　哲也
沈　力
影山　太郎"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806503000.html								
30806504	博前	"△シンポジウム４
Symposium 4"	"鋤柄　俊夫
星　英仁
伊藤　紀子
金　明哲
福田　智子
阪田　真己子
下嶋　篤
津村　宏臣
杉本　裕二
杉尾　武志
宿久　洋
矢野　環
波多野　賢治
鄭　躍軍
原　尚幸
浦部　治一郎
川﨑　廣𠮷
山内　信幸
田口　哲也
沈　力
影山　太郎"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806504000.html								
10806511-002	学部	"○データサイエンス入門-2
Introduction to Data Science-2"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806511002.html	46.0	41.3	8.7	17.4	19.6	13.0	0.0	2.5
10806512-002	学部	"○データサイエンス入門演習-2
Exercise for Introductory Data Science-2"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806512002.html	50.0	52.0	30.0	14.0	2.0	2.0	0.0	3.3
10806513-002	学部	"△データサイエンス基礎-2
Fundamentals in Data Science-2"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806513002.html	62.0	12.9	27.4	40.3	11.3	8.1	0.0	2.3
10806514-002	学部	"△データサイエンス演習-2
Exercise for Data Science-2"	竹野　倫彰	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806514002.html	61.0	23.0	31.1	32.8	9.8	3.3	0.0	2.6
10806521	学部	"○定量的データ分析
Quantitative Data Analysis"	"矢野　環
原　尚幸"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806521000.html	209.0	25.8	25.4	22.0	12.9	13.9	0.0	2.4
10806522	学部	"○定量的データ分析演習
Exercise for Quantitative Data Analysis"	"宿久　洋
矢野　環
原　尚幸
河瀬　彰宏"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806522000.html	213.0	20.2	18.8	22.1	14.1	24.9	0.0	2.0
10806523	学部	"△定性的データ分析
Qualitative Data Analysis"	金　明哲	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806523000.html	65.0	15.4	40.0	27.7	9.2	7.7	0.0	2.5
10806524	学部	"△定性的データ分析演習
Exercise for Qualitative Data Analysis"	金　明哲	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806524000.html	41.0	4.9	36.6	29.3	14.6	14.6	0.0	2.0
10806531	学部	"○データマイニング
Data Mining"	金　明哲	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806531000.html	42.0	28.6	14.3	19.0	11.9	26.2	0.0	2.1
10806532	学部	"△時系列解析
Time Series Analysis"	竹内　惠行	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806532000.html								
10806533	学部	"○心理データ解析
Psychometric Data Analysis"	上田　祥行	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806533000.html	87.0	23.0	28.7	18.4	5.7	24.1	0.0	2.2
10806534	学部	"△テキストマイニング
Text Mining"	金　明哲	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806534000.html	17.0	35.3	23.5	5.9	5.9	29.4	0.0	2.3
10806535	学部	"△空間データ解析
Spatial Data Analysis"	津村　宏臣	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806535000.html	23.0	69.6	8.7	4.3	4.3	13.0	0.0	3.2
10806536	学部	"△意思決定の数理
Statistical Decision Making"	池田　和司	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806536000.html								
30806601	博前	"○調査法特別演習Ⅰ
Advanced Seminars in Social Research I"	鄭　躍軍	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806601000.html								
30806602	博前	"△調査法特別演習Ⅱ
Advanced Seminars in Social Research II"	鄭　躍軍	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806602000.html								
30806603	博前	"△社会調査特別研究指導Ⅰ
Special Lectures in Social Research I"	"金　明哲
宿久　洋
鄭　躍軍"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806603000.html								
30806604	博前	"○社会調査特別研究指導Ⅱ
Special Lectures in Social Research II"	"金　明哲
宿久　洋
鄭　躍軍"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806604000.html								
30806605	博前	"○多変量解析特別演習
Special Exercises for Multivariate Data Analysis"	宿久　洋	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806605000.html								
10806611	学部	"○論理と数理
Introduction to Logic and Mathematics"	"下嶋　篤
新　茂之"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806611000.html	116.0	28.4	18.1	19.0	14.7	19.8	0.0	2.2
10806612-001	学部	"○数学入門-1
Introduction to Mathematics-1"	玉谷　充	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806612001.html	152.0	25.7	25.0	15.1	13.2	21.1	0.0	2.2
10806612-002	学部	"○数学入門-2
Introduction to Mathematics-2"	根岸　章	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806612002.html	159.0	17.6	18.9	22.0	25.2	16.4	0.0	2.0
10806612-003	学部	"○数学入門-3
Introduction to Mathematics-3"	松田　真実	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806612003.html	77.0	46.8	26.0	20.8	1.3	5.2	0.0	3.1
10806613-001	学部	"○数学基礎Ⅰ-1
Elementary Mathematics I-1"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806613001.html	66.0	24.2	16.7	24.2	18.2	16.7	0.0	2.1
10806613-002	学部	"○数学基礎Ⅰ-2
Elementary Mathematics I-2"	根岸　章	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806613002.html	68.0	26.5	23.5	25.0	14.7	10.3	0.0	2.4
10806614	学部	"△離散数学
Discrete Mathematics"	深川　大路	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806614000.html	33.0	24.2	12.1	24.2	12.1	27.3	0.0	1.9
10806621	学部	"△数学基礎Ⅱ
Elementary Mathematics II"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806621000.html								
10806622	学部	"○確率・統計
Introduction to Probability and Statistics"	玉谷　充	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806622000.html	64.0	28.1	10.9	20.3	17.2	23.4	0.0	2.0
10806623	学部	"○現象と数理Ⅰ
Phenomena and Mathematics I"	川﨑　廣𠮷	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806623000.html	38.0	10.5	18.4	21.1	15.8	34.2	0.0	1.6
10806624	学部	"△数理統計Ⅰ
Mathematical Statistics I"	宿久　洋	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806624000.html	41.0	24.4	12.2	12.2	17.1	34.1	0.0	1.8
10806631	学部	"△現象と数理Ⅱ
Phenomena and Mathematics II"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806631000.html								
10806632	学部	"○数理統計Ⅱ
Mathematical Statistics II"	宿久　洋	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806632000.html	12.0	75.0	25.0	0.0	0.0	0.0	0.0	3.8
10806633	学部	"○数理モデル
Mathematical Models"	川﨑　廣𠮷	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806633000.html	17.0	17.6	11.8	23.5	5.9	41.2	0.0	1.6
10806651	学部	"△数学基礎Ⅱ
Elementary Mathematics II"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806651000.html	102.0	15.7	24.5	23.5	24.5	11.8	0.0	2.1
10806661	学部	"△現象と数理Ⅱ
Phenomena and Mathematics II"	浦部　治一郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806661000.html	12.0	33.3	25.0	16.7	16.7	8.3	0.0	2.6
10806671	学部	"△決定理論
Statistical Decision Theory"	池田　和司	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806671000.html	15.0	13.3	33.3	6.7	0.0	46.7	0.0	1.7
10806672	学部	"△時系列解析
Time Series Analysis"	竹内　惠行	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806672000.html	11.0	0.0	45.5	27.3	9.1	18.2	0.0	2.0
30806701	博前	"○文化情報学特殊講義１
Special Lectures in Culture and Information Science 1"	影山　太郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806701000.html								
30806702	博前	"△文化情報学特殊講義２
Special Lectures in Culture and Information Science 2"	影山　太郎	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806702000.html								
30806705	博前	"○文化情報学特殊講義５
Special Lectures in Culture and Information Science 5"	鈴木　大慈	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806705000.html								
30806706	博前	"○文化情報学特殊講義６(物語作品の変容～『源氏物語』を中心に～)
Special Lectures in Culture and Information Science 6"	新美　哲彦	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806706000.html								
30806707-001	博前	"○Strategies in English Communication 1-1
Strategies in English Communication 1-1"	平岩　葉子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806707001.html								
30806707-002	博前	"△Strategies in English Communication 1-2
Strategies in English Communication 1-2"	平岩　葉子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806707002.html								
30806708-001	博前	"○Strategies in English Communication 2-1
Strategies in English Communication 2-1"	布施　邦子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806708001.html								
30806708-002	博前	"△Strategies in English Communication 2-2
Strategies in English Communication 2-2"	布施　邦子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/30806708002.html								
10806711	学部	"○インターネット技術
Internet Technology"	岡本　和也	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806711000.html								
10806712	学部	"○情報倫理
Information Moral"	"川崎　友巳
植平　朋行
四方　奨"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806712000.html	334.0	2.4	37.1	45.5	10.5	4.5	0.0	2.2
10806714	学部	"△コンピュータの仕組み
Mechanism of Computers"	杉本　裕二	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806714000.html	242.0	5.0	18.6	32.2	25.6	18.6	0.0	1.7
10806717	学部	"○知的財産権
Intellectual Property Rights"	青江　秀史	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806717000.html								
10806721	学部	"○人間と情報
Human Beings and Information"	深川　大路	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806721000.html								
10806722	学部	"○情報基礎論
Fundamentals of Computation"	深川　大路	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806722000.html								
10806723	学部	"○ｅ－ラーニング
e-Learning"	松本　寿一	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806723000.html								
10806724	学部	"△翻訳解析
Machine Translation"	永田　昌明	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806724000.html	64.0	20.3	20.3	29.7	12.5	17.2	0.0	2.1
10806725	学部	"○情報アクセス技術
Information Access Technologies"	波多野　賢治	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806725000.html	10.0	30.0	50.0	10.0	0.0	10.0	0.0	2.9
10806726	学部	"△社会とコンピュータ
Society and Computers"	波多野　賢治	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806726000.html								
10806731	学部	"○ヒューマンコンピュータインタラクション
Human-Computer Interaction"	杉本　裕二	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806731000.html	28.0	14.3	17.9	17.9	17.9	32.1	0.0	1.6
10806732	学部	"△数値計算
Numerical Analysis"	川﨑　廣𠮷	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806732000.html								
10806733	学部	"△データベースシステム
Database Systems"	波多野　賢治	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806733000.html								
10806751	学部	"○プログラミング入門
Introduction to Programming"	"波多野　賢治
深川　大路
山西　良典
鎌田　真由美
太田　公子"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806751000.html	297.0	10.8	36.7	14.1	21.2	17.2	0.0	2.0
10806752	学部	"△プログラミング基礎
Fundamentals of Programming"	"波多野　賢治
深川　大路
川原　純"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806752000.html	147.0	19.0	32.0	23.8	7.5	17.7	0.0	2.3
10806753	学部	"△情報セキュリティ
Information Security"	矢内　直人	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806753000.html	70.0	8.6	31.4	25.7	12.9	21.4	0.0	1.9
10806762	学部	"○アルゴリズムとデータ構造
Algorithms and Data Structures"	深川　大路	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806762000.html	13.0	15.4	15.4	15.4	7.7	46.2	0.0	1.5
10806763	学部	"○情報理論
Information Theory"	深川　大路	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806763000.html	85.0	14.1	25.9	10.6	12.9	36.5	0.0	1.7
10806764	学部	"△数値計算
Numerical Analysis"	川﨑　廣𠮷	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806764000.html								
10806765	学部	"△データベースシステム
Database Systems"	波多野　賢治	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806765000.html	21.0	23.8	33.3	14.3	4.8	23.8	0.0	2.3
10806771	学部	"○知的財産権
Intellectual Property Rights"	青江　秀史	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806771000.html	116.0	9.5	21.6	20.7	35.3	12.9	0.0	1.8
10806772	学部	"○インターネット技術
Internet Technology"	岡本　和也	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806772000.html	16.0	6.3	12.5	37.5	12.5	31.3	0.0	1.5
10806773	学部	"○プログラミング応用
Advanced Programming"	"波多野　賢治
深川　大路"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806773000.html	29.0	13.8	58.6	17.2	0.0	10.3	0.0	2.7
10806774	学部	"△データハンドリング
Data Handling"	阿部　寛康	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806774000.html	10.0	90.0	10.0	0.0	0.0	0.0	0.0	3.9
10806775	学部	"○ｅ－ラーニング
e-Learning"	松本　寿一	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806775000.html	42.0	31.0	23.8	19.0	16.7	9.5	0.0	2.5
10806811-001	学部	"○トピックス-1(美術・芸術の展示・推進計画)
Topics-1 (Planning of an exhibition and a promotion of arts)"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811001.html	121.0	20.7	28.1	23.1	10.7	17.4	0.0	2.2
10806811-004	学部	"△トピックス-4(環境と情報)
Topics-4 (Environment and Information)"	"鄭　躍軍
林田　明
岸　基史"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811004.html								
10806811-006	学部	"△トピックス-6(京都の伝統文化)
Topics-6 (Traditional Culture in Kyoto)"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811006.html	128.0	18.0	20.3	20.3	15.6	25.8	0.0	1.9
10806811-008	学部	"△トピックス-8(「わざ学」のすすめ)
Topics-8 (""Waza"" Studies)"	阪田　真己子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811008.html								
10806811-009	学部	"△トピックス-9(Ｏｐｅｎ　Ｄｏｏｒｓ　Ｐｒｏｇｒａｍ：Ｅｘｐｌｏｒｉｎｇ　Ｎｅｗ　Ｏｒｌｅａｎｓ )
Topics-9 (Open Doors Program : Exploring New Orleans)"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811009.html								
10806811-012	学部	"○トピックス-12(Short Program in Heinrich Heine University)
Topics-12 (Project-based Independent Short Program in Heinrich Heine University Dusseldorf)"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811012.html								
10806811-013	学部	"○トピックス-13(Short Program in Hamilton College)
Topics-13 (Project-based Independent Short Program in Hamilton College)"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811013.html								
10806811-014	学部	"△トピックス-14(金融・投資の計量分析入門)
Topics-14 (Experiential Liberal Arts)"	津田　博史	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811014.html								
10806811-015	学部	"○トピックス-15(Industry-Leading Analytics　ビジネスで活用されるアナリティクス)
Topics-15 (Experiential Liberal Arts)"	宿久　洋	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806811015.html								
10806851	学部	"○トピックス(美術・芸術の展示・推進計画)
Topics (Planning of an exhibition and a promotion of arts)"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806851000.html	121.0	20.7	28.1	23.1	10.7	17.4	0.0	2.2
10806854	学部	"△トピックス(環境と情報)
Topics (Environment and Information)"	"鄭　躍軍
林田　明
岸　基史"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806854000.html	79.0	13.9	27.8	25.3	8.9	24.1	0.0	2.0
10806856	学部	"△トピックス(京都の伝統文化)
Topics (Traditional Culture in Kyoto)"	矢野　環	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806856000.html	128.0	18.0	20.3	20.3	15.6	25.8	0.0	1.9
10806858	学部	"△トピックス(「わざ学」のすすめ)
Topics (""Waza"" Studies)"	阪田　真己子	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806858000.html	305.0	11.8	32.1	29.2	16.4	10.5	0.0	2.2
10806859	学部	"△トピックス(Ｏｐｅｎ　Ｄｏｏｒｓ　Ｐｒｏｇｒａｍ：Ｅｘｐｌｏｒｉｎｇ　Ｎｅｗ　Ｏｒｌｅａｎｓ )
Topics (Open Doors Program : Exploring New Orleans)"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806859000.html								
10806862	学部	"○トピックス(Short Program in Heinrich Heine University)
Topics (Project-based Independent Short Program in Heinrich Heine University Dusseldorf)"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806862000.html								
10806863	学部	"○トピックス(Short Program in Hamilton College)
Topics (Project-based Independent Short Program in Hamilton College)"	山内　信幸	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806863000.html								
10806864	学部	"△トピックス(金融・投資の計量分析入門)
Topics (Experiential Liberal Arts)"	津田　博史	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806864000.html	51.0	70.6	2.0	2.0	5.9	19.6	0.0	3.0
10806865	学部	"○トピックス
Topics"	宿久　洋	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0806/10806865000.html	86.0	25.6	22.1	10.5	22.1	19.8	0.0	2.1
10807011	学部	"○文化情報学入門
Introduction to Culture and Information Science"	"鋤柄　俊夫
星　英仁
伊藤　紀子
金　明哲
福田　智子
阪田　真己子
下嶋　篤
津村　宏臣
杉本　裕二
杉尾　武志
宿久　洋
矢野　環
波多野　賢治
鄭　躍軍
深川　大路
石岡　学
大塚　幸生
玉谷　充
柳沢　英輔
原　尚幸
河瀬　彰宏
浦部　治一郎
川﨑　廣𠮷
山内　信幸
田口　哲也
沈　力
中安　真理
田中　雄"	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807011000.html	298.0	65.4	12.1	11.4	5.4	5.7	0.0	3.3
10807012-001	学部	"△コロキアム-1
Colloquium-1"	"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
下嶋　篤
杉本　裕二
宿久　洋
深川　大路
石岡　学
柳沢　英輔
原　尚幸
川﨑　廣𠮷
山内　信幸
田中　雄"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807012001.html								
10807012-002	学部	"△コロキアム-2
Colloquium-2"	"金　明哲
阪田　真己子
下嶋　篤
津村　宏臣
杉尾　武志
矢野　環
波多野　賢治
大塚　幸生
玉谷　充
河瀬　彰宏
浦部　治一郎
田口　哲也
沈　力
中安　真理"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807012002.html								
10807033-001	学部	"△アドバンスト・コロキアム-1
Advanced Colloquium-1"	"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
下嶋　篤
杉本　裕二
宿久　洋
深川　大路
石岡　学
柳沢　英輔
原　尚幸
川﨑　廣𠮷
山内　信幸
田中　雄"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807033001.html								
10807033-002	学部	"△アドバンスト・コロキアム-2
Advanced Colloquium-2"	"金　明哲
阪田　真己子
下嶋　篤
津村　宏臣
杉尾　武志
矢野　環
波多野　賢治
大塚　幸生
玉谷　充
河瀬　彰宏
浦部　治一郎
田口　哲也
沈　力
中安　真理"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807033002.html								
10807051	学部	"△文化情報学演習１
Culture and Information Science Practicum 1"	"鋤柄　俊夫
星　英仁
伊藤　紀子
福田　智子
矢野　環
大浦　真
柳沢　英輔
山内　信幸
田口　哲也
沈　力
中安　真理
田中　雄"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807051000.html								
10807061	学部	"△文化情報学演習２
Culture and Information Science Practicum 2"	"金　明哲
阪田　真己子
下嶋　篤
杉尾　武志
鄭　躍軍
松田　佳尚
石岡　学
大塚　幸生
河瀬　彰宏
浦部　治一郎
藤田　成隆
濱田　大佐"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807061000.html								
10807062	学部	"○文化情報学演習３
Culture and Information Science Practicum 3"	"阪田　真己子
宿久　洋
竹野　倫彰
玉谷　充
原　尚幸
河瀬　彰宏"	京田辺	1単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807062000.html	338.0	13.6	14.2	16.9	30.8	24.6	0.0	1.6
10807111	学部	"○日本文化史
Information to Japanese Cultural History"	髙橋　美都	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807111000.html	151.0	31.1	40.4	13.2	4.6	10.6	0.0	2.8
10807112	学部	"○文化計量学入門
Introduction to Quantitative Analysis of Culture"	河瀬　彰宏	京田辺	2単位	https://syllabus.doshisha.ac.jp/html/2018/0807/10807112000.html	251.0	11.2	20.3	38.2	20.7	9.6	0.0	2.0
